dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 16:00,30.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 21:00,30.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 22:00,30.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 23:00,31.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 00:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 01:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 02:00,31.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 03:00,30.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 04:00,31.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 05:00,31.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 06:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 07:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 08:00,33.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 09:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 10:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 11:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 12:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 13:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 14:00,32.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 15:00,33.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,20,O₃,Ozônio,2025-07-06 17:00,31.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,20,O₃,Ozônio,2025-07-06 18:00,33.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,20,O₃,Ozônio,2025-07-06 19:00,33.0,Boa,True
2025-07-07,,3543402,35,SP,ribeirão_preto,,,,20,O₃,Ozônio,2025-07-06 20:00,30.0,Boa,True
