dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-20 20:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-20 21:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-20 22:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-20 23:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 00:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 01:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 02:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 03:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 04:00,0.44,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 05:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 06:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 07:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 08:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 09:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 10:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 11:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 12:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 13:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 14:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 15:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 16:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 17:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 18:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,5,CO,Monóxido de Carbono,2026-08-21 19:00,0.89,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-08-20 20:00,6.93,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-08-20 21:00,6.93,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-08-20 22:00,6.67,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-08-20 23:00,6.4,Boa,True
2026-08-21,,2905701,29,BA,caminho_do_mar,22.0,67.0,2.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-08-21 00:00,6.4,Boa,True
